preRotation0							
10400转速							
折合流量	0.00035759	0.000442282	0.000523923	0.000601971	0.000745302	0.000866827	0.000958095
效率	0.2940042	0.7896804	0.8318468	0.8282116	0.3358052	0.220874	0.1721638
膨胀比	1.66895	1.704451	1.742843	1.784261	1.876755	1.982613	2.100969
流量	208.0894677	257.3735362	304.8817325	350.2997727	433.7069193	504.4251408	557.5358821
6400转速							
折合流量	0.000322986	0.000340335	0.00035759	0.000523923	0.000675921	0.000809684	0.000866827
效率	0.607519	0.7679597	0.8253489	0.8223117	0.492162	0.201642	0.1958987
膨胀比	1.660585	1.666676	1.672872	1.740692	1.819864	1.911204	1.961314
流量	187.9522483	198.0484062	208.0894677	304.8817325	393.332937	471.172157	504.4251408
5600转速							
折合流量	0.000322986	0.00035759	0.000442282	0.000523923	0.000601971	0.000675921	0.000809684
效率	0.8387114	0.8822002	0.8149586	0.8004465	0.472167	0.2729565	0.1752409
膨胀比	1.663817	1.674942	1.704493	1.736603	1.771371	1.808872	1.892319
流量	187.9522483	208.0894677	257.3735362	304.8817325	350.2997727	393.332937	471.172157
4800转速							
折合流量	0.000270415	0.00035759	0.000442282	0.000523923	0.000601971	0.000675921	0.000718126
效率	0.8116333	0.9016446	0.7912155	0.4494044	0.4119546	0.2306336	0.2225775
膨胀比	1.650977	1.675155	1.701666	1.730587	1.761989	1.795922	1.817512
流量	157.3603552	208.0894677	257.3735362	304.8817325	350.2997727	393.332937	417.8930076
4000转速							
折合流量	0.000217163	0.000234982	0.000270415	0.00035759	0.000442282	0.000601971	0.00063207
效率	0.7571452	0.8296915	0.8818571	0.7805089	0.7495672	0.3478211	0.1965717
膨胀比	1.640583	1.644397	1.652282	1.67351	1.696953	1.750694	1.762559
流量	126.37197	136.7407987	157.3603552	208.0894677	257.3735362	350.2997727	367.8150241
3200转速							
折合流量	0.000181349	0.000270415	0.000322986	0.00035759	0.000408741	0.000442282	0.000491668
效率	0.7898654	0.8953226	0.7445305	0.7273564	0.7028017	0.6877221	0.3172464
膨胀比	1.635567	1.65176	1.662463	1.670014	1.681977	1.690375	1.703617
流量	105.5305329	157.3603552	187.9522483	208.0894677	237.8547942	257.3735362	286.1119231
2900转速							
折合流量	0.000145328	0.000234982	0.000270415	0.000322986	0.00035759	0.000408741	0.000442282
效率	0.3930304	0.8896956	0.894654	0.7183414	0.6994933	0.6736971	0.3071361
膨胀比	1.630507	1.644811	1.651094	1.66113	1.66823	1.679502	1.687432
流量	84.56964471	136.7407987	157.3603552	187.9522483	208.0894677	237.8547942	257.3735362
							
preRotation1							
10400转速							
折合流量	0.000491656	0.000523909	0.000675889	0.000809625	0.000866752	0.000915638	0.000993641
效率	0.3899868	0.6560221	0.8491117	0.615555	0.4152841	0.2982544	0.2326898
膨胀比	1.715024	1.734985	1.844146	1.970477	2.040412	2.114837	2.27832
流量	286.1053183	304.8735391	393.3143388	471.1379808	504.3814501	532.8288706	578.2209338
9600转速							
折合流量	0.000491656	0.000507853	0.000523909	0.000675889	0.000809625	0.000866752	0.000915638
效率	0.5759491	0.6662121	0.7222593	0.8494641	0.6009878	0.4000917	0.2864417
膨胀比	1.718193	1.727808	1.737566	1.843532	1.966054	2.033816	2.105842
流量	286.1053183	295.5301428	304.8735391	393.3143388	471.1379808	504.3814501	532.8288706
