preRotation0																																		
2900转速																																		
压比	2.136436128	2.182686726	2.222082684	2.2558303	2.284738841	2.309536428	2.330784518	2.348945774	2.364406822	2.377494162	2.388485779	2.397619906	2.405101815	2.411109201	2.415796507	2.419298459	2.421732966	2.42320354	2.423801312	2.423606729	2.422690989	2.42111726	2.418941717	2.416214429	2.412980119	2.409278821	2.405146443	2.400615257	2.395714322	2.390469852	2.384905539	2.37904283	2.372901175	2.366498243
10400转速																																		
流量	100	115	130	145	160	175	190	205	220	235	250	265	280	295	310	325	340	355	370	385	400	415	430	445	460	475	490	505	520	535	550	565	580	595
效率	0.53814036	0.562508414	0.584004804	0.603131601	0.620285373	0.635709484	0.649654527	0.662308887	0.673829394	0.684348328	0.693978391	0.702816371	0.710945934	0.718439784	0.725361393	0.731766389	0.737703699	0.743216487	0.748342944	0.753116947	0.757568621	0.761724817	0.765609512	0.769244167	0.772648023	0.775838362	0.778830733	0.781639149	0.784276255	0.786753481	0.78908117	0.791268694	0.793324554	0.79525647
压比	2.307781663	2.363552737	2.411552772	2.453099454	2.489229411	2.520618607	2.547930859	2.571677238	2.592285656	2.610118782	2.625486873	2.638657301	2.649861845	2.659302427	2.667155691	2.673576737	2.678702191	2.682652761	2.685535384	2.687445034	2.688466261	2.688674507	2.68813723	2.686914874	2.685061706	2.682626537	2.679653356	2.676181873	2.672248001	2.66788427	2.663120196	2.657982602	2.652495902	2.64668235
																																		
preRotation+1																																		
2900转速																																		
流量	100	115	130	145	160	175	190	205	220	235	250	265	280	295	310	325	340	355	370	385	400	415	430	445	460	475	490	505	520	535	550	565	580	595
效率	0.762054138	0.775318825	0.785309544	0.792837067	0.798438032	0.802473542	0.805077073	0.806445606	0.806600413	0.805730461	0.80394205	0.801237241	0.79759903	0.792993226	0.787369277	0.780660243	0.772782022	0.763631849	0.753086047	0.740996923	0.727188657	0.71145195	0.693537065	0.673144802	0.649914686	0.623409405	0.593094059	0.558308122	0.518227006	0.471808426	0.417716191	0.354209001	0.278975461	0.188879994
压比	1.125508432	1.124839402	1.12355096	1.121805625	1.119712337	1.117346094	1.114743722	1.111948947	1.108978795	1.105871525	1.102652581	1.099332535	1.09591961	1.092420261	1.088839594	1.08518167	1.081449734	1.077646379	1.073773683	1.069833301	1.065826546	1.061754451	1.057617814	1.053417243	1.049153183	1.044825946	1.040435734	1.035982657	1.031466453	1.026887712	1.022246059	1.017541382	1.012773567	1.007942484
3200转速																																		
流量	100	115	130	145	160	175	190	205	220	235	250	265	280	295	310	325	340	355	370	385	400	415	430	445	460	475	490	505	520	535	550	565	580	595
效率	0.751525888	0.76623193	0.777561934	0.786353447	0.793173972	0.798415257	0.802351368	0.805127166	0.80680548	0.807542093	0.807307454	0.806318659	0.804588136	0.802114252	0.798883043	0.794869249	0.790036777	0.78433872	0.777716959	0.770101373	0.761408661	0.751540722	0.740382536	0.727799461	0.713633795	0.697700435	0.679781367	0.659618648	0.636905406	0.611274178	0.582281671	0.549388576	0.511932503	0.469091138
压比	1.153251513	1.153152983	1.15226413	1.150789158	1.148867292	1.146595784	1.14404404	1.141254002	1.138250993	1.135075019	1.131732914	1.128271665	1.124702576	1.121034598	1.117274874	1.113429151	1.109502301	1.105497638	1.101418478	1.097267337	1.093046268	1.088756945	1.084400731	1.079978722	1.075491797	1.07094065	1.066325815	1.061647696	1.056906582	1.052102668	1.047236068	1.042306829	1.037314944	1.032260362
4000转速																																		
流量	100	115	130	145	160	175	190	205	220	235	250	265	280	295	310	325	340	355	370	385	400	415	430	445	460	475	490	505	520	535	550	565	580	595
效率	0.723515014	0.741237457	0.755400329	0.766848156	0.776179754	0.783827541	0.79010855	0.795258162	0.799452919	0.802826225	0.805479346	0.807395606	0.8086855	0.809359938	0.809426016	0.809021483	0.808156114	0.806833711	0.805052815	0.802807193	0.800086172	0.796874821	0.793154021	0.788900423	0.784086318	0.778679403	0.772642452	0.765932892	0.758502256	0.75029552	0.741250293	0.731295836	0.720351877	0.70832719
压比	1.238528166	1.240694675	1.241521279	1.241332514	1.240358702	1.238766525	1.236678708	1.234187019	1.231361056	1.228254295	1.224908313	1.221329701	1.217560197	1.213612508	1.209498112	1.205262017	1.200914018	1.196462228	1.1919134	1.187273189	1.182546344	1.177736876	1.172848178	1.167883129	1.162844173	1.157733393	1.152552557	1.14730317	1.141986508	1.13660365	1.131155503	1.125642828	1.120066255	1.1144263
4800转速																																		
流量	100	115	130	145	160	175	190	205	220	235	250	265	280	295	310	325	340	355	370	385	400	415	430	445	460	475	490	505	520	535	550	565	580	595
效率	0.696620841	0.716460827	0.732697045	0.746129415	0.757343356	0.766774967	0.774753825	0.781532051	0.787304545	0.792223346	0.796407968	0.799952953	0.802933458	0.805409416	0.807427837	0.808920537	0.810022159	0.810674756	0.810920129	0.810846251	0.810460414	0.809766951	0.808767566	0.807461579	0.805846121	0.803916255	0.801665072	0.799083735	0.796161493	0.792885659	0.789241565	0.785212481	0.780779506	0.775921427
压比	1.33915098	1.34466781	1.3481908	1.350167902	1.350927183	1.350713199	1.34971097	1.348062304	1.34587717	1.343241761	1.340224312	1.336879338	1.33325077	1.329374296	1.325278777	1.320945152	1.316437113	1.311739237	1.306876151	1.30188899	1.29678647	1.291576035	1.286264067	1.280856057	1.275356745	1.269770234	1.264100089	1.258349408	1.252520896	1.246616911	1.240639514	1.234590508	1.22847147	1.222283779
5600转速																																		
流量	100	115	130	145	160	175	190	205	220	235	250	265	280	295	310	325	340	355	370	385	400	415	430	445	460	475	490	505	520	535	550	565	580	595
效率	0.671363405	0.692676088	0.710421895	0.725357863	0.738034851	0.748872584	0.758195531	0.766257487	0.773258958	0.779359733	0.784688129	0.789347894	0.793423411	0.796983665	0.800085301	0.80277499	0.805091279	0.807066051	0.808710318	0.80998527	0.810982728	0.811625543	0.811985703	0.812116353	0.812022978	0.811709432	0.811178109	0.810430074	0.809465173	0.808282115	0.806878536	0.805251041	0.803395239	0.801305759
压比	1.453997329	1.463919739	1.471115832	1.476163121	1.479486814	1.481411304	1.48218759	1.482012181	1.481040513	1.479396662	1.477180515	1.474473113	1.471340689	1.467837742	1.46400941	1.459893304	1.455520943	1.450918887	1.446100911	1.44105256	1.435832755	1.430405537	1.424817473	1.41910299	1.413270002	1.407325422	1.401275302	1.395124958	1.388879069	1.382541766	1.376116703	1.369607117	1.363015883	1.356345556
6400转速																																		
流量	100	115	130	145	160	175	190	205	220	235	250	265	280	295	310	325	340	355	370	385	400	415	430	445	460	475	490	505	520	535	550	565	580	595
效率	0.64793272	0.670198161	0.689014577	0.705072922	0.718882464	0.730837226	0.741246917	0.750357957	0.758368362	0.765438592	0.771699627	0.777259087	0.782205908	0.786613981	0.79054498	0.794050604	0.797174349	0.799952926	0.802417399	0.804594109	0.806505419	0.808170326	0.809589663	0.810729215	0.811662242	0.812297816	0.812734365	0.812998673	0.813094949	0.813026429	0.812795468	0.812403623	0.811851715	0.811139878
压比	1.58222138	1.597523968	1.609330741	1.618337425	1.625062802	1.629909262	1.633193649	1.635168383	1.636036517	1.635962768	1.635081758	1.633504265	1.631322024	1.628611452	1.625436559	1.621851246	1.617901129	1.613624992	1.609055965	1.604222463	1.599148963	1.593856631	1.588352322	1.582616802	1.576711042	1.570574187	1.56428449	1.557865998	1.55132601	1.544671006	1.537906757	1.53103841	1.524070566	1.517007346
7200转速																																		
流量	100	115	130	145	160	175	190	205	220	235	250	265	280	295	310	325	340	355	370	385	400	415	430	445	460	475	490	505	520	535	550	565	580	595
效率	0.626284073	0.64911444	0.668681656	0.685555831	0.700226194	0.713058433	0.724343229	0.73431478	0.743163769	0.751046777	0.75809332	0.764411201	0.770090656	0.775207599	0.779826186	0.784000865	0.787778023	0.791197314	0.794292746	0.797093562	0.799624972	0.801908754	0.803963751	0.805806287	0.807450517	0.808908713	0.81018553	0.811233742	0.812122598	0.812750086	0.81323831	0.8135929	0.813817145	0.813913722
压比	1.72314692	1.744724956	1.76204498	1.775862729	1.786806227	1.795352861	1.801883231	1.806704652	1.810067752	1.812178618	1.81320791	1.813297841	1.812567596	1.811117582	1.809032806	1.806385566	1.803237624	1.799641956	1.795644183	1.791283745	1.786594853	1.781607295	1.776347087	1.770837024	1.765097144	1.759145107	1.752990733	1.746593946	1.740027006	1.733198676	1.726229961	1.719130012	1.71190564	1.704562974
8000转速																																		
流量	100	115	130	145	160	175	190	205	220	235	250	265	280	295	310	325	340	355	370	385	400	415	430	445	460	475	490	505	520	535	550	565	580	595
效率	0.606315824	0.629468741	0.64950368	0.66694978	0.68225777	0.695766201	0.707745879	0.718416819	0.727959878	0.736525101	0.744237913	0.751203824	0.757512086	0.763238568	0.768448048	0.77319606	0.777530385	0.781492276	0.785117463	0.788436979	0.791477851	0.794263676	0.796815095	0.799150208	0.801284903	0.803233154	0.805007263	0.806618067	0.808075118	0.809386839	0.810560648	0.811552045	0.812392459	0.813025189
压比	1.876245671	1.904970043	1.928616106	1.948049982	1.963992557	1.976993983	1.987496215	1.995859508	2.002380761	2.007306787	2.010844234	2.013167182	2.014423064	2.014737356	2.01421732	2.012955034	2.011029844	2.008510378	2.005456207	2.001919206	1.997944698	1.9935724	1.988837224	1.983769938	1.978397739	1.972744726	1.966832309	1.960679555	1.954303486	1.947719329	1.940940741	1.933918467	1.926695902	1.919210747
8800转速																																		
流量	100	115	130	145	160	175	190	205	220	235	250	265	280	295	310	325	340	355	370	385	400	415	430	445	460	475	490	505	520	535	550	565	580	595
效率	0.587891211	0.61117845	0.631466258	0.649313601	0.665078322	0.679095179	0.69161624	0.702847222	0.712958295	0.722091683	0.730367237	0.737886636	0.744736634	0.750991618	0.756715649	0.761964112	0.766785064	0.771220337	0.775306459	0.779075415	0.782555285	0.785770781	0.788743701	0.791493314	0.794036683	0.796388947	0.798563559	0.80057249	0.802426405	0.804134816	0.805706211	0.807148174	0.808467477	0.809670172
压比	2.041087046	2.077767899	2.108489175	2.134327482	2.156009323	2.17418715	2.189362729	2.201947394	2.212282617	2.220654616	2.227305146	2.232439695	2.236233872	2.23883846	2.240383475	2.240981459	2.24073018	2.239714851	2.238009984	2.235680925	2.232785148	2.229373341	2.225490324	2.221175834	2.21646518	2.211389816	2.205977826	2.200254334	2.194241872	2.187960684	2.181428994	2.174663244	2.167678289	2.160487583
9600转速																																		
流量	100	115	130	145	160	175	190	205	220	235	250	265	280	295	310	325	340	355	370	385	400	415	430	445	460	475	490	505	520	535	550	565	580	595
效率	0.570862599	0.594153912	0.614574163	0.632653161	0.648730266	0.66311764	0.676050756	0.687722004	0.698291041	0.707891938	0.716638327	0.724627229	0.731941992	0.738654586	0.744827438	0.750514908	0.7557645	0.760617859	0.765111605	0.769278022	0.773145648	0.776739767	0.780082831	0.783194819	0.786093541	0.788794908	0.791313155	0.793661035	0.795849997	0.797890328	0.799791282	0.801561193	0.803207577	0.804737211
压比	2.217305663	2.262720714	2.301283764	2.334216794	2.362338129	2.386377993	2.406897942	2.424359337	2.439146806	2.451584566	2.461948258	2.470473842	2.477364464	2.482795861	2.486920701	2.489872116	2.491766591	2.492706373	2.49278147	2.492071335	2.49064629	2.488568726	2.485894134	2.482671978	2.478946446	2.474757101	2.470139432	2.46512534	2.459743558	2.454020009	2.447978125	2.441639126	2.435022256	2.428145003
10000转速																																		
